Date,AssetCode,AssetName,Market,Stance,Confidence,Trend,Momentum,Flow,RelativeStrength,Risk,PositiveBlocks,NegativeBlocks,MixedBlocks,Evidence,RiskFlags,Rationale
2026-04-24,000660,SK Hynix,KR_STOCK,Neutral,Medium,Bullish,Positive,Mixed,Outperforming,High,"trend, momentum, relative_strength",risk,flow,MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 26.70% 위에 있습니다. | 현재 가격이 MA120 대비 54.37% 위에 있습니다. | 최근 60거래일 수익률이 66.03%로 양수입니다. | 최근 120거래일 수익률이 119.00%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 66.03%로 중기 모멘텀이 양호합니다.,RSI14가 85.90로 과열 구간입니다. | 20일 변동성이 5.23%로 높습니다. | RSI14가 85.90로 과열 리스크가 있습니다.,"SK Hynix에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 Mixed, 상대강도는 Outperforming, 리스크는 High입니다. 판단 근거 블록은 positive=['trend', 'momentum', 'relative_strength'], negative=['risk'], mixed=['flow']입니다."
2026-04-24,005930,Samsung Electronics,KR_STOCK,Neutral,Medium,Bullish,Positive,Distribution,Neutral,Moderate,"trend, momentum",flow,"relative_strength, risk",MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 15.94% 위에 있습니다. | 현재 가격이 MA120 대비 43.91% 위에 있습니다. | 최근 60거래일 수익률이 44.31%로 양수입니다. | 최근 120거래일 수익률이 118.41%로 양수입니다. | RSI14가 69.30로 강한 모멘텀을 보입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다.,RSI가 단기 과열 구간에 접근했습니다. | 20일 변동성이 4.39%로 높습니다.,"Samsung Electronics에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 Distribution, 상대강도는 Neutral, 리스크는 Moderate입니다. 판단 근거 블록은 positive=['trend', 'momentum'], negative=['flow'], mixed=['relative_strength', 'risk']입니다."
2026-04-24,042700,Hanmi Semiconductor,KR_STOCK,Cautious,Medium,Bullish,Positive,Distribution,Underperforming,High,"trend, momentum","flow, relative_strength, risk",,MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 13.21% 위에 있습니다. | 현재 가격이 MA120 대비 47.65% 위에 있습니다. | 최근 60거래일 수익률이 74.34%로 양수입니다. | 최근 120거래일 수익률이 113.82%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 74.34%로 중기 모멘텀이 양호합니다.,RSI14가 76.36로 과열 구간입니다. | 20일 변동성이 4.21%로 높습니다. | RSI14가 76.36로 과열 리스크가 있습니다.,"Hanmi Semiconductor에 대한 Market Agent 판단은 Cautious입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 Distribution, 상대강도는 Underperforming, 리스크는 High입니다. 판단 근거 블록은 positive=['trend', 'momentum'], negative=['flow', 'relative_strength', 'risk'], mixed=[]입니다."
2026-04-24,KQ11,KOSDAQ,KR_INDEX,Neutral,Medium,Bullish,Positive,NotAvailable,NotAvailable,Moderate,"trend, momentum",,risk,이동평균선 정배열이 형성되어 있지 않습니다. | 현재 가격이 MA60 대비 6.68% 위에 있습니다. | 현재 가격이 MA120 대비 17.35% 위에 있습니다. | 최근 60거래일 수익률이 13.10%로 양수입니다. | 최근 120거래일 수익률이 33.52%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 13.10%로 중기 모멘텀이 양호합니다.,RSI14가 85.71로 과열 구간입니다. | 20일 변동성이 2.82%로 중간 수준입니다. | RSI14가 85.71로 과열 리스크가 있습니다.,"KOSDAQ에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 NotAvailable, 상대강도는 NotAvailable, 리스크는 Moderate입니다. 판단 근거 블록은 positive=['trend', 'momentum'], negative=[], mixed=['risk']입니다."
2026-04-25,KRW=X,USD/KRW,FX,Neutral,Low,Bullish,Mixed,NotAvailable,NotAvailable,Low,trend,,momentum,MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 0.22% 위에 있습니다. | 현재 가격이 MA120 대비 0.66% 위에 있습니다. | 최근 60거래일 수익률이 1.90%로 양수입니다. | 최근 120거래일 수익률이 2.54%로 양수입니다. | RSI14가 35.87로 뚜렷한 방향성을 보이지 않습니다. | MACD histogram이 음수로 단기 모멘텀이 약합니다. | MACD가 signal line 아래에 있습니다.,,"USD/KRW에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Mixed, 수급은 NotAvailable, 상대강도는 NotAvailable, 리스크는 Low입니다. 판단 근거 블록은 positive=['trend'], negative=[], mixed=['momentum']입니다."
2026-04-24,KS11,KOSPI,KR_INDEX,Neutral,Medium,Bullish,Positive,NotAvailable,NotAvailable,Moderate,"trend, momentum",,risk,MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 14.85% 위에 있습니다. | 현재 가격이 MA120 대비 31.08% 위에 있습니다. | 최근 60거래일 수익률이 30.83%로 양수입니다. | 최근 120거래일 수익률이 58.67%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 30.83%로 중기 모멘텀이 양호합니다.,RSI14가 87.07로 과열 구간입니다. | 20일 변동성이 3.16%로 중간 수준입니다. | RSI14가 87.07로 과열 리스크가 있습니다.,"KOSPI에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 NotAvailable, 상대강도는 NotAvailable, 리스크는 Moderate입니다. 판단 근거 블록은 positive=['trend', 'momentum'], negative=[], mixed=['risk']입니다."
2026-04-24,SMH,VanEck Semiconductor ETF,US_ETF,Positive,High,Bullish,Positive,NotAvailable,Outperforming,Moderate,"trend, momentum, relative_strength",,risk,MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 23.14% 위에 있습니다. | 현재 가격이 MA120 대비 30.36% 위에 있습니다. | 최근 60거래일 수익률이 21.56%로 양수입니다. | 최근 120거래일 수익률이 39.24%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 21.56%로 중기 모멘텀이 양호합니다.,RSI14가 99.82로 과열 구간입니다. | 20일 변동성이 2.22%로 중간 수준입니다. | RSI14가 99.82로 과열 리스크가 있습니다.,"VanEck Semiconductor ETF에 대한 Market Agent 판단은 Positive입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 NotAvailable, 상대강도는 Outperforming, 리스크는 Moderate입니다. 판단 근거 블록은 positive=['trend', 'momentum', 'relative_strength'], negative=[], mixed=['risk']입니다."
2026-04-24,SOXX,iShares Semiconductor ETF,US_ETF,Positive,High,Bullish,Positive,NotAvailable,Outperforming,Low,"trend, momentum, relative_strength",,,MA30 > MA60 > MA120 정배열이 형성되어 있습니다. | 현재 가격이 MA60 대비 28.96% 위에 있습니다. | 현재 가격이 MA120 대비 38.41% 위에 있습니다. | 최근 60거래일 수익률이 28.06%로 양수입니다. | 최근 120거래일 수익률이 51.14%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 28.06%로 중기 모멘텀이 양호합니다.,20일 변동성이 2.40%로 중간 수준입니다.,"iShares Semiconductor ETF에 대한 Market Agent 판단은 Positive입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 NotAvailable, 상대강도는 Outperforming, 리스크는 Low입니다. 판단 근거 블록은 positive=['trend', 'momentum', 'relative_strength'], negative=[], mixed=[]입니다."
2026-04-24,^GSPC,S&P 500,US_INDEX,Neutral,Medium,Bullish,Positive,NotAvailable,NotAvailable,Moderate,"trend, momentum",,risk,이동평균선 정배열이 형성되어 있지 않습니다. | 현재 가격이 MA60 대비 5.18% 위에 있습니다. | 현재 가격이 MA120 대비 4.97% 위에 있습니다. | 최근 60거래일 수익률이 2.68%로 양수입니다. | 최근 120거래일 수익률이 5.02%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 2.68%로 중기 모멘텀이 양호합니다.,RSI14가 86.79로 과열 구간입니다. | RSI14가 86.79로 과열 리스크가 있습니다.,"S&P 500에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 NotAvailable, 상대강도는 NotAvailable, 리스크는 Moderate입니다. 판단 근거 블록은 positive=['trend', 'momentum'], negative=[], mixed=['risk']입니다."
2026-04-24,^IXIC,NASDAQ Composite,US_INDEX,Neutral,Medium,Bullish,Positive,NotAvailable,NotAvailable,Moderate,"trend, momentum",,risk,이동평균선 정배열이 형성되어 있지 않습니다. | 현재 가격이 MA60 대비 9.01% 위에 있습니다. | 현재 가격이 MA120 대비 7.76% 위에 있습니다. | 최근 60거래일 수익률이 4.10%로 양수입니다. | 최근 120거래일 수익률이 5.32%로 양수입니다. | MACD histogram이 양수로 단기 모멘텀이 개선되어 있습니다. | MACD가 signal line 위에 있습니다. | ROC60이 4.10%로 중기 모멘텀이 양호합니다.,RSI14가 88.43로 과열 구간입니다. | RSI14가 88.43로 과열 리스크가 있습니다.,"NASDAQ Composite에 대한 Market Agent 판단은 Neutral입니다. 추세는 Bullish, 모멘텀은 Positive, 수급은 NotAvailable, 상대강도는 NotAvailable, 리스크는 Moderate입니다. 판단 근거 블록은 positive=['trend', 'momentum'], negative=[], mixed=['risk']입니다."
